subject,group,dprime,dprime_r1,dprime_r2,dprime_r3,dprime_r4,dprime_d1,dprime_d1_r1,dprime_d1_r2,dprime_d1_r3,dprime_d1_r4,dprime_d2,dprime_d2_r1,dprime_d2_r2,dprime_d2_r3,dprime_d2_r4,dprime_t,dprime_t_r1,dprime_t_r2,dprime_t_r3,dprime_t_r4,dprime_n,dprime_n_r1,dprime_n_r2,dprime_n_r3,dprime_n_r4,dprime_m,dprime_m_r1,dprime_m_r2,dprime_m_r3,dprime_m_r4,dprime_d1_n,dprime_d1_n_r1,dprime_d1_n_r2,dprime_d1_n_r3,dprime_d1_n_r4,dprime_d2_t,dprime_d2_t_r1,dprime_d2_t_r2,dprime_d2_t_r3,dprime_d2_t_r4,dprime_d2_n,dprime_d2_n_r1,dprime_d2_n_r2,dprime_d2_n_r3,dprime_d2_n_r4,corr,corr_r1,corr_r2,corr_r3,corr_r4,corr_s,corr_s_r1,corr_s_r2,corr_s_r3,corr_s_r4,corr_d,corr_d_r1,corr_d_r2,corr_d_r3,corr_d_r4,corr_d1,corr_d1_r1,corr_d1_r2,corr_d1_r3,corr_d1_r4,corr_d2,corr_d2_r1,corr_d2_r2,corr_d2_r3,corr_d2_r4,map_T,map_N,map_M
S1_A,A,0.653735130235824,0.819295925068663,0.684074402431257,0.407566526442622,0.701143961872876,0.717621216218497,0.996676121228321,0.955127812003498,0.294197664114133,0.604585346583237,0.556388646150531,0.565948821932863,0.177380196159658,0.544912593616886,0.857932449719037,1.10734390706195,1.95604131574068,0.430727299295458,1.95604131574068,0.841621233572914,0.812463628790145,1.10521704949154,0,1.09496833670871,0.841621233572914,0.604585346583237,0.243762450900624,3.16796910761376,-1.2815515655446,1.65185812384476,0.897497581136449,1.71227886484006,0,0.2533471031358,1.2815515655446,0.288047981993288,0.674489750196082,-0.430727299295457,0.243762450900624,0.841621233572914,0.747408343648408,0.430727299295457,0,1.5348986686804,0.430727299295458,0.625,0.666666666666667,0.625,0.583333333333333,0.625,0.666666666666667,0.714285714285714,0.666666666666667,0.545454545454545,0.727272727272727,0.588235294117647,0.6,0.6,0.615384615384615,0.538461538461538,0.612903225806452,0.666666666666667,0.7,0.571428571428571,0.5,0.55,0.5,0.4,0.666666666666667,0.6,0.661816446353456,0.55137049702567,0.563418542485812
S2_B,B,0.121587382750483,0.996676121228321,0.367532397457228,-0.2533471031358,-0.210428394247925,0.121587382750483,0.861454598590915,0.571986467100175,-0.430727299295457,-0.180012369792705,0.121587382750483,1.10521704949154,-0.177380196159658,0,-0.2533471031358,-0.527285914585097,1.71227886484006,2.32634787404084,-3.16796910761376,-2.32634787404084,0.430727299295457,0,1.10521704949154,0.674489750196082,-1.65185812384476,0,2.32634787404084,-1.71227886484006,1.89562057474538,-0.607061815348519,0.861454598590915,NaN,1.71227886484006,1.95604131574068,-1.65185812384476,0.222080748674736,0.430727299295457,2.32634787404084,0.439930331971686,0.430727299295458,0.112087935331082,0,-1.89562057474538,0.243762450900624,-1.65185812384476,0.52112676056338,0.692307692307692,0.5625,0.45,0.454545454545455,0.548387096774194,0.666666666666667,0.6,0.5,0.5,0.5,0.714285714285714,0.545454545454545,0.4,0.416666666666667,0.5,0.666666666666667,0.625,0.333333333333333,0.428571428571429,0.5,0.75,0.333333333333333,0.5,0.4,0.22452012939906,0.181447647725038,0.110348216361826
S3_A,A,0.778185700598886,1.13500246569411,0.226396057918708,0.927836853331882,0.905890938464773,0.582425410054803,0.724108531416651,0.291017000413595,0.684074402431257,0.560304455874653,1.12398563597997,1.57493279766579,0.113636804253938,1.2207686692375,1.16736627122317,0.648782202137326,0,0.674489750196082,1.2815515655446,0.439930331971686,1.13085088297887,1.10521704949154,0,1.09496833670871,1.95604131574068,0.430727299295458,2.7570751733363,-0.439930331971686,-0.850824266249143,0,0.860034449093463,0.430727299295457,0,0.841621233572914,1.95604131574068,0.962912201580225,0,1.10521704949154,1.2815515655446,0.439930331971686,1.383016318702,1.71227886484006,0,1.27234853286837,1.95604131574068,0.652173913043478,0.695652173913043,0.565217391304348,0.681818181818182,0.666666666666667,0.534883720930233,0.615384615384615,0.444444444444444,0.6,0.454545454545455,0.755102040816326,0.8,0.642857142857143,0.75,0.846153846153846,0.689655172413793,0.666666666666667,0.666666666666667,0.666666666666667,0.75,0.85,1,0.6,0.833333333333333,1,0.200725462988956,0.22040964473927,0.135567006347889
S4_A,A,0.71383023713091,0.616587517694784,-0.056058564974733,1.78658917078021,0.861454598590915,0.422715438435146,0.294197664114133,-0.393057402017662,1.40757005550578,0.684074402431257,1.30183814331877,1.08160686042313,0.701910934691052,1.84750038747746,1.27234853286837,0.674489750196082,1.95604131574068,-3.00083762423692,0,3.60789943958544,0.927836853331882,1.09496833670871,-0.607061815348519,2.2489731316463,0,0.0125794366924422,-1.2815515655446,2.57969497717664,0.607061815348519,-0.684074402431257,0.433359472928505,0.2533471031358,-1.2815515655446,2.2489731316463,0,1.58294761873347,1.10521704949154,-0.243762450900624,3.60789943958544,3.60789943958544,1.47398745198315,1.5348986686804,0,2.2489731316463,0,0.642105263157895,0.625,0.5,0.782608695652174,0.666666666666667,0.604651162790698,0.545454545454545,0.444444444444444,0.714285714285714,0.666666666666667,0.673076923076923,0.692307692307692,0.533333333333333,0.888888888888889,0.666666666666667,0.5625,0.571428571428571,0.4,0.8,0.6,0.85,0.833333333333333,0.8,1,0.8,0.201429270366301,0.132015577248554,0.0850048416101812
S5_A,A,1.30382675182593,1.19889026290412,1.54447674549424,1.6063309073593,1.2815515655446,1.0113873871932,0.524400512708041,1.19889026290412,1.6063309073593,0.967421566101701,2.03331529093458,1.80595207825264,1.80595207825264,1.6063309073593,1.2815515655446,1.95604131574068,3.60789943958544,1.5348986686804,3.60789943958544,1.2815515655446,1.81622664896342,1.09496833670871,1.95604131574068,1.2815515655446,1.2815515655446,0.336998837042929,-0.430727299295457,2.32634787404084,0.684074402431257,0.430727299295458,1.37335721131638,0.2533471031358,1.95604131574068,1.2815515655446,1.2815515655446,1.95604131574068,3.60789943958544,1.5348986686804,2.7570751733363,1.2815515655446,1.50455939648497,1.5348986686804,1.95604131574068,1.2815515655446,1.2815515655446,0.741935483870968,0.727272727272727,0.782608695652174,0.791666666666667,0.666666666666667,0.651162790697674,0.7,0.7,0.777777777777778,0.5,0.82,0.75,0.846153846153846,0.8,0.9,0.733333333333333,0.5,0.75,0.8,0.833333333333333,0.95,1,1,0.8,1,0.0698073174449106,0.17550231386562,0.130409782325021
S6_A,A,1.13429541499224,1.30429208275448,1.0268027360814,1.06757052387814,1.2207686692375,0.840215286837183,0.96729324571155,0.843039876672416,0.636843224582684,0.967421566101701,1.6885766945307,2.06226158242026,1.36602174628095,1.74206027407422,1.64191131629778,2.06703476797689,2.7570751733363,2.32634787404084,3.60789943958544,1.71227886484006,1.30610475891548,2.32634787404084,1.2815515655446,1.64191131629778,0.967421566101701,0.243762450900624,0.177380196159658,0,-1.65185812384476,1.89562057474538,0.764709673786387,0,1.2815515655446,0.967421566101701,0.967421566101701,1.93181324533948,2.7570751733363,2.32634787404084,2.32634787404084,1.71227886484006,1.98535002263374,3.60789943958544,1.2815515655446,2.2489731316463,0.967421566101701,0.698924731182796,0.666666666666667,0.695652173913043,0.708333333333333,0.727272727272727,0.822222222222222,0.888888888888889,0.7,0.857142857142857,0.833333333333333,0.583333333333333,0.533333333333333,0.692307692307692,0.5,0.6,0.466666666666667,0.4,0.625,0.333333333333333,0.5,0.777777777777778,0.8,0.8,0.75,0.75,0.235192576849308,0.283002598007547,0.161845869772538
S7_A,A,2.6300022539379,2.33453474081023,3.43711949067763,2.34912208942274,2.72172629489137,2.36274391731459,1.97602839241553,3.16796910761376,2.34912208942274,2.50219191439195,2.4753466383277,2.19000943408199,3.60789943958544,2.34912208942274,2.50219191439195,2.03749593939488,1.95604131574068,2.7570751733363,1.95604131574068,1.95604131574068,2.2976030493926,1.68324246714583,3.60789943958544,2.2489731316463,3.00083762423692,3.89107434540264,3.60789943958544,3.16796910761376,3.60789943958544,3.60789943958544,1.78526136683287,0.841621233572914,3.60789943958544,2.2489731316463,2.32634787404084,2.16869812456348,1.95604131574068,3.60789943958544,1.95604131574068,1.95604131574068,2.39232318218139,2.12317279911752,3.60789943958544,2.2489731316463,3.60789943958544,0.90625,0.875,0.916666666666667,0.916666666666667,0.916666666666667,0.883720930232558,0.818181818181818,1,0.857142857142857,0.888888888888889,0.924528301886792,0.923076923076923,0.866666666666667,1,0.933333333333333,0.878787878787879,0.857142857142857,0.8,1,0.9,1,1,1,1,1,1.14889382180694,1.06137301928526,0.919014736688328
S8_B,B,0.303839026360049,0.210428394247925,0.48296881424033,0.243762450900624,0.660687985922855,0.365241290821307,0.463775497383725,0.312601718797063,0.421142647060282,0.769228914186073,0.209271157184857,-0.220298905047533,0.714074462965902,-0.167131483376833,0.493556502546022,1.39814886539716,1.5348986686804,1.0282044624088,2.32634787404084,3.60789943958544,0.0303392721954329,-0.850824266249143,1.71227886484006,-0.29293181590562,-1.48472664046793,0.285945982618862,1.89562057474538,-1.2815515655446,0.177380196159658,1.65185812384476,0.0733347333430948,0,1.71227886484006,0.243762450900624,-1.48472664046793,0.291017000413595,-2.07300077090504,0.177380196159658,2.32634787404084,1.89562057474538,0,-1.2815515655446,1.71227886484006,-1.65185812384476,-1.48472664046793,0.550561797752809,0.55,0.608695652173913,0.478260869565217,0.565217391304348,0.658536585365854,0.583333333333333,0.4,0.75,0.909090909090909,0.458333333333333,0.5,0.769230769230769,0.333333333333333,0.25,0.482758620689655,0.6,0.714285714285714,0.4,0.285714285714286,0.421052631578947,0.333333333333333,0.833333333333333,0.2,0.2,0.478281047543108,0.233092772779789,0.195310625729716
S9_A,A,2.56722918462987,NaN,3.34642410682704,1.45080353208166,3.60789943958544,2.26757499946512,NaN,2.8922966959737,1.19543697308184,3.60789943958544,2.58170499890802,NaN,3.60789943958544,1.71227886484006,3.60789943958544,3.29376944014254,NaN,3.60789943958544,2.7570751733363,3.60789943958544,2.61672930166354,NaN,3.60789943958544,1.2815515655446,3.60789943958544,1.24043857212894,NaN,2.32634787404084,0.243762450900624,3.60789943958544,2.61672930166354,NaN,3.60789943958544,1.2815515655446,3.60789943958544,3.60789943958544,NaN,3.60789943958544,3.60789943958544,3.60789943958544,2.61672930166354,NaN,3.60789943958544,1.2815515655446,3.60789943958544,0.9,NaN,0.916666666666667,0.772727272727273,1,0.903225806451613,NaN,1,0.666666666666667,1,0.897435897435897,NaN,0.846153846153846,0.846153846153846,1,0.833333333333333,NaN,0.714285714285714,0.777777777777778,1,1,NaN,1,1,1,0.214697561150306,0.139873003818324,0.167992874946854
S10_B,B,1.7997384368997,0.407566526442622,2.06226158242026,2.07149365349507,3.60789943958544,1.47338787654781,-0.204454069642947,1.74504086155539,1.9011265580518,3.60789943958544,2.65774696439616,1.39573685986603,2.50219191439195,2.30259930222064,3.60789943958544,1.88336583532617,-1.65185812384476,2.32634787404084,3.60789943958544,3.60789943958544,2.37366286551164,0.927836853331882,3.60789943958544,3.00083762423692,3.60789943958544,0.66739505948142,-1.2815515655446,0.684074402431257,0,3.60789943958544,2.25440195663396,0.2533471031358,3.60789943958544,3.60789943958544,3.60789943958544,2.8462780369064,1.95604131574068,3.60789943958544,3.60789943958544,3.60789943958544,2.46838299830042,1.5348986686804,3.60789943958544,2.7570751733363,3.60789943958544,0.8125,0.583333333333333,0.833333333333333,0.833333333333333,1,0.844444444444444,0.545454545454545,0.888888888888889,0.909090909090909,1,0.784313725490196,0.615384615384615,0.8,0.769230769230769,1,0.67741935483871,0.375,0.7,0.714285714285714,1,0.95,1,1,0.833333333333333,1,0.0838801759033241,0.107353981720729,0.096377005523553
